map type;agents;timesteps;id;algorithm;SoC LB;SoC;rerouted;ok;TO;total time;max. time;gain over RS
../instances/IntersectionType10;70;100;4.in;RA;1180;1344;35;success;2;66925;30091;1.014880952
../instances/IntersectionType10;60;100;0.in;RSG;860;997;0;success;0;6375;178;0.993981946
../instances/IntersectionType10;60;100;1.in;RSG;929;1093;0;success;0;5977;162;1.000914913
../instances/IntersectionType10;60;100;2.in;RSG;905;1060;0;success;0;5883;166;0.991509434
../instances/IntersectionType10;60;100;3.in;RSG;1028;1177;0;success;0;6490;170;1.001699235
../instances/IntersectionType10;60;100;4.in;RSG;872;1030;0;success;0;6386;175;0.998058252
../instances/IntersectionType10;62;100;0.in;RSG;905;1053;0;success;0;6462;165;0.995251662
../instances/IntersectionType10;62;100;1.in;RSG;987;1150;0;success;0;6154;172;0.988695652
../instances/IntersectionType10;62;100;2.in;RSG;930;1086;0;success;0;5969;171;0.998158379
../instances/IntersectionType10;62;100;3.in;RSG;1071;1228;0;success;0;6019;173;0.995114007
../instances/IntersectionType10;62;100;4.in;RSG;992;1159;0;success;0;6567;163;0.992234685
../instances/IntersectionType10;64;100;0.in;RSG;921;1060;0;success;0;6825;175;1.001886792
../instances/IntersectionType10;64;100;1.in;RSG;1026;1188;0;success;0;6764;192;0.999158249
../instances/IntersectionType10;64;100;2.in;RSG;988;1146;0;success;0;7092;171;0.996509599
../instances/IntersectionType10;64;100;3.in;RSG;1062;1226;0;success;0;6434;226;1.008972268
../instances/IntersectionType10;64;100;4.in;RSG;1022;1183;0;success;0;6347;181;0.992392223
../instances/IntersectionType10;66;100;0.in;RSG;963;1114;0;success;0;7012;159;1.000897666
../instances/IntersectionType10;66;100;1.in;RSG;1040;1205;0;success;0;6279;204;0.995850622
../instances/IntersectionType10;66;100;2.in;RSG;975;1145;0;success;0;7182;175;1.002620087
../instances/IntersectionType10;66;100;3.in;RSG;1058;1216;0;success;0;6482;183;0.998355263
../instances/IntersectionType10;66;100;4.in;RSG;1047;1199;0;success;0;7297;170;1
../instances/IntersectionType10;68;100;0.in;RSG;1166;1350;0;success;0;6546;164;0.997777778
../instances/IntersectionType10;68;100;1.in;RSG;1056;1228;0;success;0;6626;172;0.991856678
../instances/IntersectionType10;68;100;2.in;RSG;1212;1367;0;success;0;7126;198;0.996342356
../instances/IntersectionType10;68;100;3.in;RSG;968;1124;0;success;0;7372;177;0.998220641
../instances/IntersectionType10;68;100;4.in;RSG;1115;1273;0;success;0;6325;165;0.997643362
../instances/IntersectionType10;70;100;0.in;RSG;1198;1379;0;success;0;6272;169;0.997099347
../instances/IntersectionType10;70;100;1.in;RSG;1101;1285;0;success;0;6504;179;0.99922179
../instances/IntersectionType10;70;100;2.in;RSG;1226;1401;0;success;0;6889;164;0.999286224
../instances/IntersectionType10;70;100;3.in;RSG;1016;1162;0;success;0;6940;182;0.99827883
../instances/IntersectionType10;70;100;4.in;RSG;1180;1370;0;success;0;6338;164;0.995620438
../instances/IntersectionType10;60;100;0.in;RS;860;991;0;success;46;15;15;1
../instances/IntersectionType10;60;100;1.in;RS;929;1094;0;success;44;15;15;1
../instances/IntersectionType10;60;100;2.in;RS;905;1051;0;success;43;4;1;1
../instances/IntersectionType10;60;100;3.in;RS;1028;1179;0;success;48;75;15;1
../instances/IntersectionType10;60;100;4.in;RS;872;1028;0;success;47;45;15;1
../instances/IntersectionType10;62;100;0.in;RS;905;1048;0;success;48;31;15;1
../instances/IntersectionType10;62;100;1.in;RS;987;1137;0;success;44;15;15;1
../instances/IntersectionType10;62;100;2.in;RS;930;1084;0;success;46;60;15;1
../instances/IntersectionType10;62;100;3.in;RS;1071;1222;0;success;45;30;15;1
../instances/IntersectionType10;62;100;4.in;RS;992;1150;0;success;48;18;4;1
../instances/IntersectionType10;64;100;0.in;RS;921;1062;0;success;51;19;4;1
../instances/IntersectionType10;64;100;1.in;RS;1026;1187;0;success;46;30;15;1
../instances/IntersectionType10;64;100;2.in;RS;988;1142;0;success;52;64;15;1
../instances/IntersectionType10;64;100;3.in;RS;1062;1237;0;success;45;25;5;1
../instances/IntersectionType10;64;100;4.in;RS;1022;1174;0;success;47;19;7;1
../instances/IntersectionType10;66;100;0.in;RS;963;1115;0;success;53;45;15;1
../instances/IntersectionType10;66;100;1.in;RS;1040;1200;0;success;46;13;3;1
../instances/IntersectionType10;66;100;2.in;RS;975;1148;0;success;53;21;4;1
../instances/IntersectionType10;66;100;3.in;RS;1058;1214;0;success;47;12;4;1
../instances/IntersectionType10;66;100;4.in;RS;1047;1199;0;success;52;29;14;1
../instances/IntersectionType10;68;100;0.in;RS;1166;1347;0;success;48;21;4;1
../instances/IntersectionType10;68;100;1.in;RS;1056;1218;0;success;49;19;4;1
../instances/IntersectionType10;68;100;2.in;RS;1212;1362;0;success;51;23;6;1
../instances/IntersectionType10;68;100;3.in;RS;968;1122;0;success;55;23;6;1
../instances/IntersectionType10;68;100;4.in;RS;1115;1270;0;success;47;15;4;1
../instances/IntersectionType10;70;100;0.in;RS;1198;1375;0;success;46;20;7;1
